SatelliteName,OperatorCountry,Users,Purpose,OrbitClass,OrbitType,Perigee,Apogee,Period,LaunchMass,DryMass,Power,LaunchDate,Current Date,Age,ContractorCountry,LaunchSite,LaunchVehicle
DSP 21 (USA 159) (Defense Support Program),USA,Military,Earth Observation,GEO,None,35765,35810,1436.14,"2,380",,"1,485",8/6/2001,6/5/2018,17,USA,Cape Canaveral,Titan 4B
DSP 22 (USA 176) (Defense Support Program),USA,Military,Earth Observation,GEO,None,35741,35832,1436.12,"2,380",,"1,485",2/14/2004,6/5/2018,15,USA,Cape Canaveral,Titan 4B
DubaiSat-1,United Arab Emirates,Government,Earth Observation,LEO,Sun-Synchronous,662,680,98.2,200,,360,7/29/2009,6/5/2018,9,South Korea,Baikonur Cosmodrome,Dnepr
DubaiSat-2,United Arab Emirates,Government,Earth Observation,LEO,Sun-Synchronous,585,603,96.56,300,,360,11/21/2013,6/5/2018,5,South Korea,Dombarovsky Air Base,Dnepr
Duchifat-1,Israel,Civil,Communications,LEO,Sun-Synchronous,601,623,96.93,1,,,6/19/2014,6/5/2018,4,Israel,Dombarovsky Air Base,Dnepr
DX-1 (Dauria Experimental 1),Russia,Commercial,Communications,LEO,Sun-Synchronous,626,636,97.33,27,,,7/8/2014,6/5/2018,4,Russia,Baikonur Cosmodrome,Soyuz-2.1b
Echostar 1 ,Mexico,Commercial,Communications,GEO,None,35776,35795,1436.07,"3,287","2,000","7,000",12/28/1995,6/5/2018,23,USA,Xichang Satellite Launch Center,Long March 2E
Echostar 10,USA,Commercial,Communications,GEO,None,35780,35792,1436,"4,333",,"10,000",2/15/2006,6/5/2018,13,USA,Sea Launch Odyssey,Zenit 3SL
Echostar 11,USA,Commercial,Communications,GEO,None,35778,35793,1436.1,"5,500",,"20,000",7/16/2008,6/5/2018,10,USA,Sea Launch Odyssey,Zenit 3SL
Echostar 12 (Rainbow-1) ,USA,Commercial,Communications,GEO,None,35782,35791,1436.11,"4,328",,,7/17/2003,6/5/2018,15,USA,Cape Canaveral,Atlas 5
Echostar 14,USA,Commercial,Communications,GEO,None,35785,35789,1436.11,"6,384","3,223","20,000",3/20/2010,6/5/2018,9,USA,Baikonur Cosmodrome,Proton M
Echostar 15,USA,Commercial,Communications,GEO,None,35789,35803,1436.57,"5,521",,"20,000",7/10/2010,6/5/2018,8,USA,Baikonur Cosmodrome,Proton M
Echostar 16,USA,Commercial,Communications,GEO,None,35776,35796,1436.06,"6,658","3,228",,11/20/2012,6/5/2018,6,USA,Baikonur Cosmodrome,Proton M
Echostar 17,USA,Commercial,Communications,GEO,None,35781,35794,1436.13,"6,100",,"16,100",7/5/2012,6/5/2018,6,USA,Guiana Space Center,Ariane 5 ECA
Echostar 18,USA,Commercial,Communications,GEO,None,35692,35788,1436.3,"6,300",,,6/19/2016,6/5/2018,2,USA,Guiana Space Center,Ariane 5 ECA
Echostar 19,USA,Commercial,Communications,GEO,None,35771,35796,1436.3,"6,764",,,12/18/2016,6/5/2018,2,USA,Cape Canaveral,Atlas 5
Echostar 21 (TerreStar 2),USA,Commercial,Communications,GEO,None,35773,35799,1436.1,"6,900",,,6/7/2017,6/5/2018,1,USA,Baikonur Cosmodrome,Proton
Echostar 23,USA,Commercial,Communications,GEO,None,35786,35803,1436.1,"5,600",,,3/16/2017,6/5/2018,2,USA,Cape Canaveral,Falcon 9
Echostar 7 ,USA,Commercial,Communications,GEO,None,35782,35789,1436.07,"4,027","2,200","13,000",2/21/2002,6/5/2018,17,USA,Cape Canaveral,Atlas 3B
"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)",USA,Commercial,Communications,GEO,None,35775,35797,1436.08,"4,000","2,500",,8/8/2003,6/5/2018,15,USA,Sea Launch Odyssey,Zenit 3SL
"Echostar G1 (ICO G1, DBSD G1)",USA,Commercial,Communications,GEO,None,35773,35799,1436.1,"6,600",,"16,000",4/14/2008,6/5/2018,11,USA,Cape Canaveral,Atlas 5
"EKS-1 (Integrated Space System, Cosmos 2510, Tundra 11L)",Russia,Military,Earth Observation,Elliptical,Molniya,1606,38662,715,,,,11/17/2015,6/5/2018,3,Russia,Plesetsk Cosmodrome,Soyuz 2.1
"EKS-2 (Integrated Space System, Cosmos 2518, Tundra 12L)",Russia,Military,Earth Observation,Elliptical,Molniya,1650,38511,713.8,,,,5/25/2017,6/5/2018,2,Russia,Plesetsk Cosmodrome,Soyuz 2.1b
Electro-L1 (GOMS 2 [Geostationary Operational Meteorological Satellite 2],Russia,Government,Earth Observation,GEO,None,35323,35750,1423.35,"1,766",,,1/20/2011,6/5/2018,8,Russia,Baikonur Cosmodrome,Zenit
Electro-L2 ,Russia,Government,Earth Observation,GEO,None,35694,35815,1434.47,"1,800",,,12/11/2015,6/5/2018,3,Russia,Baikonur Cosmodrome,Zenit
ELISA-E12 (ELectronic Intelligence by SAtellite),France,Military,Earth Observation,LEO,Sun-Synchronous,675,692,98.43,120,,,12/17/2011,6/5/2018,7,France,Guiana Space Center,Soyuz 2/Fregat
ELISA-E24 (ELectronic Intelligence by SAtellite),France,Military,Earth Observation,LEO,Sun-Synchronous,675,692,98.43,120,,,12/17/2011,6/5/2018,7,France,Guiana Space Center,Soyuz 2/Fregat
ELISA-W11 (ELectronic Intelligence by SAtellite),France,Military,Earth Observation,LEO,Sun-Synchronous,677,692,98.45,120,,,12/17/2011,6/5/2018,7,France,Guiana Space Center,Soyuz 2/Fregat
ELISA-W23 (ELectronic Intelligence by SAtellite),France,Military,Earth Observation,LEO,Sun-Synchronous,677,692,98.46,120,,,12/17/2011,6/5/2018,7,France,Guiana Space Center,Soyuz 2/Fregat
EOS-AM Terra ,USA/Canada/Japan,Government,Earth Observation,LEO,Sun-Synchronous,702,703,98.8,"4,854",,"2,530",12/18/1999,6/5/2018,19,USA,Vandenberg AFB,Atlas 2AS
EOS-CHEM Aura ,USA,Government,Earth Observation,LEO,Sun-Synchronous,702,703,98.8,"2,967",,"4,600 (EOL)",7/15/2004,6/5/2018,14,USA,Vandenberg AFB,Delta 2
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",USA/Japan/Brazil,Government,Earth Observation,LEO,Sun-Synchronous,701,704,98.8,"2,934","2,832","4,860 (EOL)",5/4/2002,6/5/2018,17,USA/Japan/Brazil,Vandenberg AFB,Delta
"ERG (Exploration of Energization and Radiation in Geospace, Arase)",Japan,Government,Space Science,Elliptical,None,460,33200,580,350,,750,12/20/2016,6/5/2018,2,Japan,Uchinoura Space Center,Epsilon
EROS B1 (Earth Resources Observation Satellite),Israel,Military/Commercial,Earth Observation,LEO,Sun-Synchronous,508,514,94.8,350,,800,4/25/2006,6/5/2018,13,Israel,Svobodny Cosmodrome,Start 1
e-st@r-2,Italy,Civil,Technology Development,LEO,Elliptical,442,687,95.9,1,,,4/25/2016,6/5/2018,3,Italy,Guiana Space Center,Soyuz 2-1a
Eurasiasat 1 (Turksat 2A),Turkey/France,Commercial,Communications,GEO,None,35761,35810,1436.06,"3,535","1,900","9,000 (EOL)",1/10/2001,6/5/2018,18,France,Guiana Space Center,Ariane 4
Eutelsat 10A (Eutelsat W-2A),Multinational,Commercial,Communications,GEO,None,35781,35822,1436.09,"5,900",,,4/3/2009,6/5/2018,10,France,Baikonur Cosmodrome,Proton M
Eutelsat 113 West-A (Satmex 6),Multinational,Commercial,Communications,GEO,None,35776,35796,1436.1,"5,456","2,310","12,690 (EOL)",5/27/2006,6/5/2018,13,USA,Guiana Space Center,Ariane 5 ECA
Eutelsat 115 West-B,Multinational,Commercial,Communications,GEO,None,35789,35789,1436,,,,3/2/2015,6/5/2018,4,USA,Cape Canaveral,Falcon 9
"Eutelsat 117 West A (Eutelsat 8 West C, Satmex 8)",Multinational,Commercial,Communications,GEO,None,35779,35795,1436.1,"5,474","2,317","12,690 (EOL)",3/26/2013,6/5/2018,6,USA,Baikonur Cosmodrome,Proton M
Eutelsat 117 West B (Satmex 9),Multinational,Commercial,Communications,GEO,None,35779,35795,1436.1,"5,500","2,300","13,000",6/15/2016,6/5/2018,2,USA,Cape Canaveral,Falcon 9
Eutelsat 12 West-A (Atlantic Bird 1) ,Multinational,Commercial,Communications,GEO,None,35768,35805,1436.1,"2,700","1,550","5,100",8/28/2002,6/5/2018,16,Italy,Guiana Space Center,Ariane 5G
Eutelsat 16A (Eutelsat W3C),Multinational,Commercial,Communications,GEO,None,35779,35795,1436.12,"5,400",,,10/7/2011,6/5/2018,7,France,Xichang Satellite Launch Center,Long March 3B
"Eutelsat 16C (SESAT-1, Siberia-Europe Satellite)",Multinational,Commercial,Communications,GEO,None,35754,35817,1436.06,"2,500",,"5,600",4/17/2000,6/5/2018,19,France/Russia,Baikonur Cosmodrome,Proton K
"Eutelsat 172A (GE-23, AMC-23, Worldsat 3, Americom 23)",Multinational,Commercial,Communications,GEO,None,35772,35799,1436.1,"5,000",,"13,000",12/29/2005,6/5/2018,13,France/Italy,Baikonur Cosmodrome,Proton M
Eutelsat 172B,Multinational,Commercial,Communications,GEO,None,22948,42807,1437,"3,600",,,6/1/2017,6/5/2018,2,France/UK/Germany/Spain,Guiana Space Center,Ariane 5
Eutelsat 25B (Es’hail 1),Multinational,Commercial,Communications,GEO,None,35725,35767,1434.03,,,,8/29/2013,6/5/2018,5,USA,Guiana Space Center,Ariane 5 ECA
"Eutelsat 33A (Eurobird 3, E-bird) ",Multinational,Commercial,Communications,GEO,None,35781,35790,1436.06,"1,525","1,300","1,600",9/27/2003,6/5/2018,15,USA,Guiana Space Center,Ariane 5
"Eutelsat 33C (Eutelsat 28A, Eurobird 1, Eurosat 1)",Multinational,Commercial,Communications,GEO,None,35788,35794,1436.1,"2,950","1,375","5,900",3/8/2001,6/5/2018,18,France,Guiana Space Center,Ariane 5
Eutelsat 36A (Eutelsat W-4) ,Multinational,Commercial,Communications,GEO,None,35766,35806,1436.08,"3,190","1,380","6,000",5/24/2000,6/5/2018,19,France,Cape Canaveral,Atlas 3A
Eutelsat 36B (Eutelsat W-7),Multinational,Commercial,Communications,GEO,None,35786,35787,1436.09,"5,600",,"13,200",11/24/2009,6/5/2018,9,France,Baikonur Cosmodrome,Breeze M
Eutelsat 3B,Multinational,Commercial,Communications,GEO,None,35782,35791,1436.1,"5,967",,,5/26/2014,6/5/2018,5,France,Sea Launch Odyssey,Zenit 3SL
"Eutelsat 48B (Eutelsat 21B, Eutelsat W-6A)",Multinational,Commercial,Communications,GEO,None,35777,35797,1436.12,"5,102","2,060",,11/10/2012,6/5/2018,6,Italy,Guiana Space Center,Ariane 5 ECA
"Eutelsat 5 West-A (Atlantic Bird 3, Stellat 5)",Multinational,Commercial,Communications,GEO,None,35769,35805,1436.08,"4,050","1,805","11,000",7/5/2002,6/5/2018,16,France,Guiana Space Center,Ariane 5
Eutelsat 65 West-A,Multinational,Commercial,Communications,GEO,None,35776,35796,1436.07,"6,654",,"16,000",3/9/2016,6/5/2018,3,USA,Guiana Space Center,Ariane 5
Eutelsat 7 West-A (Atlantic Bird 7),Multinational,Commercial,Communications,GEO,None,35774,35799,1436.09,"4,600",,"12,000",9/24/2011,6/5/2018,7,France,Sea Launch Odyssey,Zenit 3SL
Eutelsat 70B (Eutelsat W5A),Multinational,Commercial,Communications,GEO,None,35780,35800,1436.28,"5,250",,,12/3/2012,6/5/2018,6,France,Sea Launch Odyssey,Zenit 3SL
Eutelsat 7A (Eutelsat W3A) ,Multinational,Commercial,Communications,GEO,None,35769,35802,1436.07,"4,300","2,000",,3/15/2004,6/5/2018,15,France,Baikonur Cosmodrome,Proton M
Eutelsat 7B ,Multinational,Commercial,Communications,GEO,None,35784,35794,1436.21,"5,404",,,5/14/2013,6/5/2018,6,France,Baikonur Cosmodrome,Proton M
Eutelsat 8 West A (Atlantic Bird 2) ,Multinational,Commercial,Communications,GEO,None,35766,35806,1436.1,"3,150","1,368","7,400",9/25/2001,6/5/2018,17,France,Guiana Space Center,Ariane 4
Eutelsat 8 West B,Multinational,Commercial,Communications,GEO,None,35773,35814,1436.1,"5,800",,,8/20/2015,6/5/2018,3,France/Italy,Guiana Space Center,Ariane 5
"Eutelsat 8 West C (Eutelsat Hot Bird 13A, Hot Bird 6)",Multinational,Commercial,Communications,GEO,None,35756,35815,1436.06,"3,800","1,900","9,000",8/28/2002,6/5/2018,16,France,Cape Canaveral,Atlas 5
"Eutelsat 9A (Eurobird 9A, Hot Bird 7A)",Multinational,Commercial,Communications,GEO,None,35775,35799,1436.1,"4,100","1,740","10,000",3/11/2006,6/5/2018,13,France,Guiana Space Center,Ariane 5
"Eutelsat Hot Bird  13D (Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",Multinational,Commercial,Communications,GEO,None,35766,35806,1436.07,"4,892","2,240","11,000",2/11/2009,6/5/2018,10,France,Guiana Space Center,Ariane 5 ECA
Eutelsat Hot Bird 13B (Hot Bird 8),Multinational,Commercial,Communications,GEO,None,35759,35812,1436.06,"4,900",,"14,000",8/4/2006,6/5/2018,12,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton/Breeze M
Eutelsat Hot Bird 13C (Hot Bird 9),Multinational,Commercial,Communications,GEO,None,35786,35787,1436.09,"4,880","2,338","14,500",12/20/2008,6/5/2018,10,France,Guiana Space Center,Ariane 5
Eutelsat Hot Bird 13E (Eutelsat 9B),Multinational,Commercial,Communications,GEO,None,35780,35792,1436.06,"5,200",,,1/29/2016,6/5/2018,3,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton
Eutelsat KA-SAT 9A (KA-SAT),Multinational,Commercial,Communications,GEO,None,35714,35856,1436.01,"6,150","3,200","11,000",12/26/2010,6/5/2018,8,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton
exactView 1,Canada,Commercial,Communications,LEO,Sun-Synchronous,806,821,101.2,100,,,7/22/2012,6/5/2018,6,United Kingdom,Baikonur Cosmodrome,Soyuz-Fregat
exactView 6 (AprizeSat 6),Canada,Commercial,Communications,LEO,Sun-Synchronous,627,694,98,12,12,,8/17/2011,6/5/2018,7,USA,Dombarovsky Air Base,Dnepr 1
exactView 9,Canada,Commercial,Communications,LEO,Equatorial,630,649,97.5,6,6,,9/28/2015,6/5/2018,3,Canada,Satish Dhawan Space Centre,PSLV C-30
Ex-Alta 1 (QB50 - CA03),Canada,Civil,Earth Science,LEO,Non-Polar Inclined,397,408,92.6,2,,,5/26/2017,6/5/2018,2,Canada,International Space Station,Nanorack Deployer
Express AM22 (Sesat 2),Russia/Multinational,Commercial,Communications,GEO,None,35781,35790,1436.06,"2,600",,"6,000",12/28/2003,6/5/2018,15,Russia/France,Baikonur Cosmodrome,Proton K
Express AMU1 (Eutelsat 36C),Russia,Commercial,Communications,GEO,None,35792,35795,1436.1,"2,700",,,12/24/2015,6/5/2018,3,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
"Express-A1R (Express 4A, Ekspress-A No. 4)",Russia,Commercial,Communications,GEO,None,35774,35798,1436.1,"2,600",,"6,000",6/10/2002,6/5/2018,16,Russia,Baikonur Cosmodrome,Proton K
Express-AM2,Russia,Commercial,Communications,GEO,None,35785,35788,1436.1,"2,542",,"6,000",3/29/2005,6/5/2018,14,Russia/France,Baikonur Cosmodrome,Proton K
Express-AM3,Russia,Commercial,Communications,GEO,None,35777,35795,1436.1,"2,600",,"4,200",6/24/2005,6/5/2018,13,Russia/France,Baikonur Cosmodrome,Proton K
Express-AM33,Russia,Commercial,Communications,GEO,None,35782,35791,1436.1,"2,600",,,1/28/2008,6/5/2018,11,Russia/France,Baikonur Cosmodrome,Proton M
Express-AM44,Russia,Commercial,Communications,GEO,None,35987,35995,1446.57,"2,532",,,2/11/2009,6/5/2018,10,Russia/France,Baikonur Cosmodrome,Proton M
Express-AM5,Russia,Commercial,Communications,GEO,None,35420,35940,1430.6,"3,400",,,12/26/2013,6/5/2018,5,Russia,Baikonur Cosmodrome,Proton M
Express-AM6,Russia,Commercial,Communications,GEO,None,34094,37636,1440.09,"3,358","1,100","14,000",10/21/2014,6/5/2018,4,Russia,Baikonur Cosmodrome,Proton M
Express-AM7,Russia,Commercial,Communications,GEO,None,35777,35796,1436.1,"5,720",,"18,000",3/18/2015,6/5/2018,4,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
Express-AM8,Russia,Commercial,Communications,GEO,None,35784,35788,1436.09,"2,100",,,9/14/2015,6/5/2018,3,Russia,Baikonur Cosmodrome,Proton DM
Express-AT1,Russia,Commercial,Communications,GEO,None,35781,35804,1436.4,"1,726",,,3/15/2014,6/5/2018,5,Russia,Baikonur Cosmodrome,Proton M
Express-AT2,Russia,Commercial,Communications,GEO,None,35609,35715,1429.75,"1,427",,,3/15/2014,6/5/2018,5,Russia,Baikonur Cosmodrome,Proton M
Falconsat-3,USA,Military/Civil,Technology Development,LEO,Non-Polar Inclined,538,540,95.4,46,,,3/9/2007,6/5/2018,12,USA,Cape Canaveral,Atlas 5
"FAST 1 (Sara Lilly and Emma, USA 222)",USA,Civil,Technology Development,LEO,Polar,627,654,97.54,55,,,11/20/2010,6/5/2018,8,USA,Kodiak Launch Complex,Minotaur 4
Fengniao 1A (Hummingbird 1A),China,Government,Technology Development,LEO,Sun-Synchronous,488,500,94.49,160,,,11/20/2012,6/5/2018,6,China,Taiyuan Launch Center,Long March 2C
Fengyun 2D (FY-2D),China,Government,Earth Observation,GEO,None,35777,35791,1436,"1,390",620,,12/8/2006,6/5/2018,12,China,Xichang Satellite Launch Center,Long March 3A
Fengyun 2E (FY-2E),China,Government,Earth Observation,GEO,None,35767,35803,1436.04,"1,390",620,,12/23/2008,6/5/2018,10,China,Xichang Satellite Launch Center,Long March 3A
Fengyun 2F (FY-2F),China,Government,Earth Observation,GEO,None,35760,35816,1436.19,"1,390",620,,1/12/2012,6/5/2018,7,China,Xichang Satellite Launch Center,Long March 3A
Fengyun 2G (FY 2G),China,Government,Earth Observation,GEO,None,35770,35800,1436.02,"1,390",620,,12/31/2014,6/5/2018,4,China,Xichang Satellite Launch Center,Long March 3A
Fengyun 3A (FY-3A),China,Government,Earth Observation,LEO,Sun-Synchronous,820,835,101.5,"2,300",,,5/27/2008,6/5/2018,11,China,Taiyuan Launch Center,Long March 4C
Fengyun 3B (FY-3B),China,Government,Earth Observation,LEO,Sun-Synchronous,827,828,101.5,"2,300",,,11/4/2010,6/5/2018,8,China,Taiyuan Launch Center,Long March 4C
Fengyun 3C (FY-3C),China,Government,Earth Observation,LEO,Sun-Synchronous,827,828,101.45,"2,300",,,9/23/2013,6/5/2018,5,China,Taiyuan Launch Center,Long March 4C
Fermi Gamma-Ray Space Telescope (formerly GLAST),USA,Government,Space Science,LEO,Non-Polar Inclined,537,556,95.6,"4,303",,,6/11/2008,6/5/2018,10,USA,Cape Canaveral,Delta 2
"FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz)",USA,Military,Earth Observation,LEO,Non-Polar Inclined,1101,1107,107.35,,,,9/21/2010,6/5/2018,8,USA,Vandenberg AFB,Atlas 5
"FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz)",USA,Military,Earth Observation,LEO,Non-Polar Inclined,1068,1107,107,,,,4/3/2012,6/5/2018,7,USA,Vandenberg AFB,Delta 4
"FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz)",USA,Military,Earth Observation,LEO,Non-Polar Inclined,1066,1081,106.7,,,,12/6/2013,6/5/2018,5,USA,Vandenberg AFB,Atlas 5
"FIA Radar 4 (Future Imagery Architecture (FIA) Radar 4, NROL-45, USA 267, Topax)",USA,Military,Earth Observation,LEO,Non-Polar Inclined,1086,1087,106.7,,,,2/10/2016,6/5/2018,3,USA,Vandenberg AFB,Delta 4
"Firebird-C (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,Civil,Space Science,LEO,Elliptical,437,667,95.7,2,,,1/31/2015,6/5/2018,4,USA,Vandenberg AFB,Delta 2
"Firebird-D (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics)",USA,Civil,Space Science,LEO,Elliptical,444,675,97.7,2,,,1/31/2015,6/5/2018,4,USA,Vandenberg AFB,Delta 2
FLP (Flying Laptop),Germany,Civil,Earth Observation,LEO,Sun-Synchronous,586,606,96.6,120,,,7/14/2017,6/5/2018,1,Germany,Baikonur Cosmodrome,Soyuz 2.1a
FLTSATCOM-8 (USA 46),USA,Military,Communications,GEO,None,35745,35829,"1,436.13","2,310","1,884",,9/25/1989,6/5/2018,29,USA,Cape Canaveral,Atlas Centaur
FormoSat-5,Taiwan,Government,Earth Observation,LEO,Sun-Synchronous,710,729,99.1,525,,,8/25/2017,6/5/2018,1,Taiwan,Vandenberg AFB,Falcon 9
FORTÉ (Fast On-orbit Recording of Transient Events),USA,Government,Earth Observation,LEO,Polar,790,823,101,215,41,55,8/29/1997,6/5/2018,21,USA,Vandenberg AFB,Pegasus XL
Fox-1A (AO-85),USA,Civil,Communications,LEO,Non-Polar Inclined,496,802,97.7,1,,,10/8/2015,6/5/2018,3,USA,Cape Canaveral,Atlas 5
FUNCube-1 (AO-73),Netherlands,Civil,Communications,LEO,Sun-Synchronous,594,683,97.4,1,,,11/21/2013,6/5/2018,5,UK/Netherlands,Dombarovsky Air Base,Dnepr
Galassia,Singapore,Civil,Earth Science,LEO,Equatorial,529,549,95.43,3,,,12/16/2015,6/5/2018,3,Singapore,Satish Dhawan Space Centre,PSLV-C29
Galaxy-11,USA,Commercial,Communications,GEO,None,35785,35795,1436.11,"4,488","2,775","10,400",1/21/1999,6/5/2018,20,USA,Guiana Space Center,Ariane 4
Galaxy-12,USA,Commercial,Communications,GEO,None,35775,35796,1436.07,"1,760",800,,4/9/2003,6/5/2018,16,USA,Guiana Space Center,Ariane 5
"Galaxy-13 (Horizons 1, Galaxy 13L)",USA/Japan,Commercial,Communications,GEO,None,35781,35790,1436.07,"4,060","2,630","8,600",10/1/2003,6/5/2018,15,USA,Sea Launch Odyssey,Zenit 3
Galaxy-14,USA,Commercial,Communications,GEO,None,35776,35795,1436.07,"2,086",,"4,700",8/13/2005,6/5/2018,13,USA,Baikonur Cosmodrome,Soyuz-Fregat 
Galaxy-15,USA,Commercial,Communications,GEO,None,35776,35795,1436.07,"2,033",,"4,700",10/13/2005,6/5/2018,13,USA,Guiana Space Center,Ariane 5
Galaxy-16 ,USA,Commercial,Communications,GEO,None,35775,35798,1436.1,"4,640",,"10,000",6/18/2006,6/5/2018,12,USA,Sea Launch Odyssey,Zenit 3SL
Galaxy-17,USA,Commercial,Communications,GEO,None,35774,35799,1436.1,"4,100",,"9,500",5/4/2007,6/5/2018,12,France/Italy,Guiana Space Center,Ariane 5 ECA
Galaxy-18,USA,Commercial,Communications,GEO,None,35774,35798,1436.1,"4,642",,,5/21/2008,6/5/2018,11,USA,Sea Launch Odyssey,Zenit 3SL
Galaxy-19,USA,Commercial,Communications,GEO,None,35776,35796,1436.1,"4,690",,,9/24/2008,6/5/2018,10,USA,Sea Launch Odyssey,Zenit 3SL
"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",USA,Commercial,Communications,GEO,None,35771,35801,1436.08,"3,515",,,5/24/1997,6/5/2018,22,USA,Baikonur Cosmodrome,Proton K
"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)",USA,Commercial,Communications,GEO,None,35775,35798,1436.1,"5,493",,"16,000",6/23/2005,6/5/2018,13,USA,Sea Launch Odyssey,Zenit 3SL
Galaxy-3C,USA,Commercial,Communications,GEO,None,35784,35788,1436.11,"4,860","2,873","18,000",6/15/2002,6/5/2018,16,USA,Sea Launch Odyssey,Zenit 3SL
"Galileo FOC FM1 (0201, Galileo 5, PRN E18)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,17231,25971,776.25,733,660,,8/22/2014,6/5/2018,4,Germany/UK,Guiana Space Center,Soyuz-ST
"Galileo FOC FM10 (0210, Galileo 13, PRN E01)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23272,23280,847.01,723,,,5/24/2016,6/5/2018,3,Germany/UK,Guiana Space Center,Soyuz-ST
"Galileo FOC FM11 (0211, Galileo 14, PRN E02)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23483,23530,856.9,723,,,5/24/2016,6/5/2018,3,Germany/UK,Guiana Space Center,Soyuz-ST
"Galileo FOC FM12 (0212, Galileo 16)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23039,23055,846,723,,,11/17/2016,6/5/2018,2,Germany/UK,Guiana Space Center,Ariane 5
"Galileo FOC FM13 (0213, Galileo 17)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,22982,22982,834,723,,,11/17/2016,6/5/2018,2,Germany/UK,Guiana Space Center,Ariane 5
"Galileo FOC FM14 (0214, Galileo 18)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23272,23296,847,723,,,11/17/2016,6/5/2018,2,Germany/UK,Guiana Space Center,Ariane 5
"Galileo FOC FM2 (0202, Galileo 6, PRN E14)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,13810,25918,705.11,733,660,,8/22/2014,6/5/2018,4,Germany/UK,Guiana Space Center,Soyuz-ST
"Galileo FOC FM3 (0203, Galileo 7, PRN E26)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23516,23574,858.55,723,,,3/27/2015,6/5/2018,4,Germany/UK,Guiana Space Center,Soyuz-ST
"Galileo FOC FM4 (0204, Galileo 8, PRN E22)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23353,23382,850.5,723,,,3/27/2015,6/5/2018,4,Germany/UK,Guiana Space Center,Soyuz-ST
"Galileo FOC FM5 (0205, Galileo 9, PRN E24)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23218,23240,845,723,,,9/11/2015,6/5/2018,3,Germany/UK,Guiana Space Center,Soyuz-ST
"Galileo FOC FM6 (0206, Galileo 10, PRN E30)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23220,23239,844,723,,,9/11/2015,6/5/2018,3,Germany/UK,Guiana Space Center,Soyuz-ST
"Galileo FOC FM7 (0207, Galileo 15)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23265,23305,847,723,,,11/17/2016,6/5/2018,2,Germany/UK,Guiana Space Center,Ariane 5
"Galileo FOC FM8 (0208, Galileo 11, PRN E08)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23550,23618,860.51,723,,,12/17/2015,6/5/2018,3,Germany/UK,Guiana Space Center,Soyuz-ST
"Galileo FOC FM9 (0209, Galileo 12, E09)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23551,23568,858.34,723,,,12/17/2015,6/5/2018,3,Germany/UK,Guiana Space Center,Soyuz-ST
"Galileo IOV-1 FM2 (0102, PRN E12)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23242,23307,846.98,700,,"1,420",10/21/2011,6/5/2018,7,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat
"Galileo IOV-1 PFM (0101, PRN E11)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23240,23306,846.88,700,,"1,420",10/21/2011,6/5/2018,7,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat
"Galileo IOV-2 FM3 (0103, PRN E19)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23214,23233,844.76,700,,"1,420",10/12/2012,6/5/2018,6,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat
"Galileo IOV-2 FM4 (0104, PRN E20)",ESA,Commercial,Navigation,MEO,Non-Polar Inclined,23217,23227,844.69,700,,"1,420",10/12/2012,6/5/2018,6,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat
